Customer,DBA Name,TDLR Number,City,State,Zip code
"EXTREME TOWING & WRECKER, LLC.",,0660033VSF (Pending Review!),EL PASO,TX,79901
FAZ WRECKER SERVICE,,005826248C,DALLAS,TX,75223
FEFO'S WRECKER SERVICE,,005968593C,DALLAS,TX,75220
FERNANDEZ AND SONS WRECKER SERVICE LLC,,006559314C,WALLIS,TX,77485
FINCHERS WRECKER SERVICE LLC,FINCHERS WRECKER SERVICE,006521312C (Suspended!),GATESVILLE,TX,76528
FINCHERS WRECKER SERVICE LLC,FINCHERS WRECKER SERVICE LLC,0652132VSF (Suspended!),GATESVILLE,TX,76528
FIVE STAR WRECKER SERVICE INC,,0653339VSF,BOERNE,TX,78006
"FIVE STAR WRECKER SERVICE, INC.",,005015678C,BOERNE,TX,78006
"FM 600 WRECKING, INC.",,005040190C,ABILENE,TX,79601
FOUR BODY SHOP & WRECKER SERVICE LLC,,006553149C,CARRIZO SPRINGS,TX,78834
FOUR BODY SHOP & WRECKER SERVICE LLC,,0655315VSF,CARRIZO SPRINGS,TX,78834
"FUZION WRECKER & CRANE SERVICES, LLC",,006555251C,LAREDO,TX,78045
GARCIA WRECKER SERVICE,,005119798C,PALMVIEW,TX,78574
GARCIA WRECKER SERVICE,,0595382VSF,PALMVIEW,TX,78574
GARCIA'S WRECKER,,006110675C,ANGLETON,TX,77515
GARCIA'S WRECKER SERVICE,,0611068VSF (Expired!),ANGLETON,TX,77515
GARCIA'S WRECKER SERVICE LLC,GARCIA'S WRECKER SERVICE,006471903C,SEGUIN,TX,78155
GARCIA'S WRECKER SERVICE LLC,GARCIA'S WRECKER SERVICE,0647191VSF,SEGUIN,TX,78155
GARRETT'S WRECKER SERVICE,,006264476C,CARTHAGE,TX,75633
GARRETT'S WRECKER SERVICE,,0626836VSF (Expired!),CARTHAGE,TX,75633
GARRETTS WRECKER SERVICE,G L TOWING,006492841C (Suspended!),CARTHAGE,TX,75633
GARRETTS'S WRECKER,LAGRONE'S TOWING AND TRANSPORT,006468521C,CARTHAGE,TX,75633
GASTON WRECKER SERVICE AND STORAGE LLC,,0656065VSF,CHAPPELL HILL,TX,77426
"GASTON WRECKER SERVICE AND STORAGE, LLC",,0654461VSF (Suspended!),CHAPPELL HILL,TX,77426
GASTONWRECKERSERVICEANDSTORAGELLC,,006559444C,CHAPPELL HILL,TX,77426
GATEWAY WRECKER SERVICE LLC,GATEWAY WRECKER SERVICE,006575719C,DIBOLL,TX,75941
"GENE'S WRECKER, TIRE & TRUCK REPAIR, LLC",,0657482VSF,EL CAMPO,TX,77437
"GENE'S WRECKER, TIRE & TRUCK REPAIR, LLC",,005673470C,EL CAMPO,TX,77437
GILLIE'S WRECKER SERVICE,,005007638C,GALENA PARK,TX,77547
GILLIE'S WRECKER SERVICE,,0000798VSF,GALENA PARK,TX,77547
GILLS WRECKER SERVICE,,0000690VSF,SABINAL,TX,78881
GILLS WRECKER SERVICE,,0000036629,SABINAL,TX,78881
GLOBAL WRECKER AND RECOVERY SERVICES,GLOBAL WRECKER AND RECOVERY SERVICES,0646892VSF,EDINBURG,TX,78540
"GOODMAN & SON WRECKER SERVICE, LLC",,006598727C,FRANKSTON,TX,75763
"GOODMAN & SON WRECKER SERVICE, LLC",,0659873VSF,FRANKSTON,TX,75763
GOODRUM WRECKER SERVICE LLC,,0000037215,VERNON,TX,76385
GOODRUM WRECKER SERVICE LLC,,0581759VSF,VERNON,TX,76385
GOVAN GARAGE & WRECKER SERVICE LLC,,006525685C,GIDDINGS,TX,78942
GOVAN GARAGE & WRECKER SERVICE LLC,,0652602VSF,GIDDINGS,TX,78942
"GRAHAM'S WRECKER SERVICE, INC.",,0000862VSF,CARROLLTON,TX,75006
"GRAHAM'S WRECKER SERVICE, INC.",,0000037667,CARROLLTON,TX,75006
"GRAHAM'S WRECKER SERVICE, INC.",,0564188VSF,CARROLLTON,TX,75006
GRAND PARKWAY WRECKER SERVICE LLC,,0658999VSF (Expired!),RICHMOND,TX,77407
GRAND PARKWAY WRECKER SERVICE LLC,,0658372VSF (Insurance not applied !),RICHMOND,TX,77407
GRAND PARKWAY WRECKER SERVICE LLC,,006583734C,RICHMOND,TX,77469
"GRAND PARKWAY WRECKER SERVICE, LLC",,0660046VSF,RICHMOND,TX,77469
GRANGER'S WRECKER SERVICE,,0642062VSF,NEDERLAND,TX,77627
GRANGERS WRECKER SERVICE,GRANGERS WRECKER SERVICE,0647404VSF,NEDERLAND,TX,77627
GREG'S WRECKER SERVICE LLC,,006547133C,AUSTIN,TX,78747
GRITTEN WRECKER SERVICE,GRITTEN WRECKER SERVICE,006588399C (Expired!),WACO,TX,76705
GRITTEN WRECKER SERVICE,GRITTEN WRECKER SERVICE,0658840VSF (Suspended!),WACO,TX,76705
GUILLORY'S WRECKER SERVICE,,005253872C,BEAUMONT,TX,77705
GUILLORY'S WRECKER SERVICE,,0525176VSF,BEAUMONT,TX,77705
"GUN BARREL WRECKER SERVICE, INC.",,0000037326,MABANK,TX,75147
"GUN BARREL WRECKER SERVICE, INC.",,0522646VSF,MABANK,TX,75147
GUY SIMONS WRECKER SERVICE,,0647384VSF,FORT WORTH,TX,76106
H & F WRECKER INC,H & F WRECKER INC,006499635C,POINT,TX,75472
H & L WRECKER SERVICE,LORI HOBBS,006551848C (Expired!),ATLANTA,TX,75551
H & L WRECKER SERVICE,,006540768C,RIO GRANDE CITY,TX,78582
H &F WRECKER INC,,0653927VSF (Suspended!),POINT,TX,75472
H &F WRECKER INC,,0657781VSF,POINT,TX,75472
H&F WRECKER INC,,0651725VSF,POINT,TX,75472
"HAINES WRECKER SERVICE, LLC",HAINES & SON WRECKER SERVICE,006429573C,ELK CITY,OK,73644
HARGROVE WRECKER AND STORAGE,,005030239C,PORTER,TX,77365
HARGROVE WRECKER AND STORAGE,,0572731VSF,PORTER,TX,77365
HARRISON WRECKER SERVICE,,006410159C,LIVINGSTON,TX,77351
HARWOOD WRECKER LLC,,006544432C (Expired!),LIVINGSTON,TX,77351
HARWOOD WRECKER LLC,,0654446VSF (Expired!),LIVINGSTON,TX,77351
HAWARA AUTO WRECKER,,005149362C,HOUSTON,TX,77041
HAWK WRECKER & AUTO,HAWK WRECKER & AUTO,0655279VSF (Dismissed!),BEAUMONT,TX,77706
"HECTOR'S WRECKER SERVICE, INC.",HECTOR'S WRECKER SERVICE,0609584VSF (Pending Review!),PECOS,TX,79772
HEREFORD WRECKER SERVICE,,005755561C,HEREFORD,TX,79045
HERNANDEZ WRECKER,HERNANDEZ WRECKER,0649617VSF,UVALDE,TX,78801
"HESTER'S WRECKER SERVICE, INC.",,005061281C,MESQUITE,TX,75150
"HESTER'S WRECKER SERVICE, INC.",,0000891VSF,MESQUITE,TX,75150
HIDDEN VALLEY WRECKER INC,,006494061C,HOUSTON,TX,77037
HIGHLAND SAFETY WRECKER SERVICE LLC,,0659580VSF,KINGSLAND,TX,78639
"HIGHLAND SAFETY WRECKER SERVICE, LLC",,006595794C,KINGSLAND,TX,78639
HOLLANDS WRECKER SERVICE,,006435727C,PEARLAND,TX,77581
HOLT WRECKER OF BROWNSBORO,,0647833VSF,BROWNSBORO,TX,75756
HOLT WRECKER OF BROWNSBORO,,006464930C,BROWNSBORO,TX,75756
HOLT WRECKER SERVICE,,006041248C (Expired!),ATHENS,TX,75751
HOLT WRECKER SERVICE,,0604125VSF (Insurance not applied !),ATHENS,TX,75751
HOLT WRECKER SERVICE LLC,,006598377C,ATHENS,TX,75751
HOLT WRECKER SERVICE LLC,,0659838VSF,ATHENS,TX,75751
HOMER'S WRECKER SERVICE,,005248532C,HOUSTON,TX,77087
HOOK 'EM UP WRECKER SERVICE INC,,006545581C,KILLEEN,TX,76549
HOOK 'EM UP WRECKER SERVICE INC,,0654559VSF,KILLEEN,TX,76549
HOOK EM UP WRECKER SERVICE,,0648539VSF,DENISON,TX,75020
HUMBLE WRECKER SERVICE,,005035759C,HUMBLE,TX,77396
HWY 90 WRECKER SERVICE LLC,HWY 90 WRECKER SERVICE,006444583C,DAYTON,TX,77535
"I-45 NORTH WRECKER SERVICE, INC.",,005040050C,CONROE,TX,77305
"I-45 NORTH WRECKER SERVICE, INC.",,0594218VSF,CONROE,TX,77305
IMPERIAL WRECKER SERVICE INC,,0657797VSF (Expired!),ROSENBERG,TX,77471
IMPERIAL WRECKER SERVICE INC,,0658663VSF,ROSENBERG,TX,77471
IMPERIAL WRECKER SERVICE INC.,,0643649VSF,SUGARLAND,TX,77498
IMPERIAL WRECKER SERVICE INC.,,006410279C,SUGAR LAND,TX,77498
"IMPERIAL WRECKER, LLC",,006588839C,SAN ANTONIO,TX,78210
INTEGRITY WRECKER & RECOVERY LLC,,0658645VSF,DECATUR,TX,76234
INTEGRITY WRECKER & RECOVERY LLC,,006573377C,DECATUR,TX,76234
IRVAN J. WRECKER SERVICE,,005591631C,MAGNOLIA,TX,77355
"IRVING WRECKER SERVICE, INC",,006480982C,GARLAND,TX,75043
ISAACS WRECKER SERVICE,,0641285VSF,TYLER,TX,75709
ISAACS WRECKER SERVICE,"ISAACS WRECKER SERVICE, LLC",005512904C,TYLER,TX,75709
ISAACS WRECKER SERVICE LLC,,0656242VSF,TYLER,TX,75709
ISAACS WRECKER SERVICE LLC,,0656243VSF,TYLER,TX,75709
ISAACS WRECKER SERVICE LLC,,0656244VSF,TYLER,TX,75709
ISAACS WRECKER SERVICE LLC,,0657142VSF,TYLER,TX,75709
ISAACS WRECKER SERVICE LLC,,0655449VSF,TYLER,TX,75709
"ISAACS WRECKER SERVICE, L.L.C.",,0657045VSF,TYLER,TX,75709
"ISAACS WRECKER SERVICE, L.L.C.",,0657046VSF,TYLER,TX,75709
ISMAEL'S WRECKER SERVICE LLC,,006512995C,ROSENBERG,TX,77471
ISMAEL'S WRECKER SERVICE LLC,ISMAEL'S WRECKER SERVICE,0651300VSF,ROSENBERG,TX,77471
"J & I WRECKER SERVICE, LLC","ECONOMY TOWING, LLC",006547203C (Expired!),SARITA,TX,78385
J & J WRECKER SERVICE,,005031379C,CLEVELAND,TX,77328
J & J WRECKER SERVICE,,0000254VSF,CLEVELAND,TX,77328
J & K WRECKER SERVICE LLC,,006467461C (Expired!),TATUM,NM,88267
"J & L WRECKER SERVICE, INC.",J & N WRECKER SERVICE,0001041VSF,GLENN HEIGHTS,TX,75123
"J & M WRECKER SERVICE, INC.",,0514934VSF,CLUTE,TX,77531
"J & M WRECKER SERVICE, INC.",,0000037752,CLUTE,TX,77531
J & S WRECKER SERVICE LLC,J&S TOWING,006590511C,WALLISVILLE,TX,77597
J & S WRECKER SERVICE LLC,,0659052VSF,WALLISVILLE,TX,77597
J & S WRECKER SERVICE LLC,J & S TOWING,0659053VSF,WALLISVILLE,TX,77597
J & S WRECKER SERVICE LLC,J & S TOWING,0659054VSF,WALLISVILLE,TX,77597
J FLORES WRECKING ENTERPRISES INC,FLORES WRECKER & TOWING,0643157VSF,ABILENE,TX,79601
J FLORES WRECKING ENTERPRISES INC.,FLORES WRECKER & TOWING,006095374C,ABILENE,TX,79601
"J J WRECKER SERVICE, LLC",,006558413C,GARCIASVILLE,TX,78547
J WRECKER LLC,,006603461C,PLANO,TX,75024
J&I WRECKER SERVICE LLC,FALFURRIAS STORAGE FACILITY,0648169VSF,SARITA,TX,78385
"J&I WRECKER SERVICE, LLC",,006565240C,SARITA,TX,78385
